binning,bin,sample,block_a,block_b,nested,model_family,controls,n_rounds,n_games,n_rounds_heldout,n_games_heldout,diff_cv_r2,ci_low,ci_high,diff_heldout_r2,ci_low_heldout,ci_high_heldout
round_bin,round 2,talkers,window,cumulative,True,random forest,rules+timing,79,79,85,85,0.008782587700617128,-0.040232641922940196,0.05675551707082565,-0.022222718186159507,-0.06403564161237753,0.01122878950031884
round_bin,round 2,talkers,pre,post,False,elastic net,rules+timing+momentum,79,79,85,85,-0.16755185735648837,-0.35127816986167765,0.023781959621023308,-0.0910059664166355,-0.22503182514675277,0.08166125421358061
round_bin,round 2,talkers,pre,window,True,elastic net,rules+timing+momentum,79,79,85,85,-0.029624478361448103,-0.1982541678622174,0.1548665906727285,-0.011549037180955679,-0.12758041662425595,0.1526701483602628
round_bin,round 2,talkers,pre,cumulative,True,elastic net,rules+timing+momentum,79,79,85,85,-0.13879972551546393,-0.29840640668713175,0.012824184575700538,-0.0650143803992771,-0.1765538165552056,0.10123728790481208
round_bin,round 2,talkers,post,window,True,elastic net,rules+timing+momentum,79,79,85,85,0.13792737899504026,-0.026030413167284175,0.30880141603187194,0.07945692923567982,-0.07989191871422345,0.22554750107533464
round_bin,round 2,talkers,post,cumulative,True,elastic net,rules+timing+momentum,79,79,85,85,0.02875213184102443,-0.121723836869253,0.16839279899904963,0.025991586017358403,-0.12106758904483307,0.17484285673971914
round_bin,round 2,talkers,window,cumulative,True,elastic net,rules+timing+momentum,79,79,85,85,-0.10917524715401583,-0.23674962698597915,-0.005036752189675958,-0.053465343218321415,-0.1358391897890355,0.02933313617404876
round_bin,round 2,talkers,pre,post,False,random forest,rules+timing+momentum,79,79,85,85,-0.009241799384513305,-0.09481892443922037,0.08566062923256403,-0.020118904728025466,-0.06899910306328817,0.035014153780430456
round_bin,round 2,talkers,pre,window,True,random forest,rules+timing+momentum,79,79,85,85,-0.0014318002798201501,-0.05332479228172344,0.052334682413492255,-7.697919772264861e-05,-0.037323985995655354,0.046768818272453855
round_bin,round 2,talkers,pre,cumulative,True,random forest,rules+timing+momentum,79,79,85,85,-0.022960017981123904,-0.0849714488816457,0.04327785661781551,-0.02269179391028897,-0.0627063002313097,0.022503289513608794
round_bin,round 2,talkers,post,window,True,random forest,rules+timing+momentum,79,79,85,85,0.007809999104693155,-0.06478161796170158,0.07995376317381507,0.020041925530302818,-0.01439818554156946,0.05630137088057585
